# Dark Matter Relic Abundance for Singlet-Doublet Model
#############################################
# Parameter explanation:
# mS: mass parameter of the singlet scalar
# mD: mass parameter of the doublet scalar
# YChi: Yukawa coupling of the singlet scalar to the doublet scalar
# ThetaY: mixing angle between the two Yukawa couplings, defined as ArcTan(Y2/Y1)
# MN1, MN2, MN3: mass eigenvalues of the neutralino-like Majorana fermions
# MChi: physical mass of the chargino-like Dirac fermion
# Xf: dimensionless freeze-out temperature parameter
# Omegah2: dark matter relic density times dimensionless Hubble rate squared
# Note: The masses are in GeV, ThetaY is in radians
# Format: mS,mD,YChi,ThetaY,Xf,Omegah2
#############################################
mS,mD,YChi,ThetaY,MN1,MN2,MN3,MChi,Xf,Omegah2
1000.00,2000.00,2.00,3.93,1039.89,2000.00,2039.89,2000.00,25.78,2.53e-01
2000.00,2000.00,2.00,3.93,2000.00,2030.09,2030.09,2000.00,28.90,5.36e-02
1000.00,1000.00,2.00,4.71,770.31,1030.31,1260.00,1000.00,28.10,1.14e-02
2000.00,1000.00,2.00,4.71,944.23,1020.27,2076.05,1000.00,28.10,1.90e-02
1000.00,2000.00,2.00,4.71,962.06,2020.17,2058.12,2000.00,26.37,9.88e-02
2000.00,2000.00,2.00,4.71,1761.71,2015.16,2253.45,2000.00,27.60,4.21e-02
1000.00,1000.00,2.00,5.50,651.79,1000.00,1348.21,1000.00,27.98,1.84e-02
2000.00,1000.00,2.00,5.50,890.70,1000.00,2109.30,1000.00,27.02,6.85e-02
1000.00,2000.00,2.00,5.50,890.70,2000.00,2109.30,2000.00,27.56,3.89e-02
2000.00,2000.00,2.00,5.50,1651.79,2000.00,2348.21,2000.00,27.16,9.82e-02
1000.00,1000.00,2.00,6.28,770.31,1030.31,1260.00,1000.00,28.10,1.14e-02
2000.00,1000.00,2.00,6.28,944.23,1020.27,2076.05,1000.00,28.10,1.90e-02
1000.00,2000.00,2.00,6.28,962.06,2020.17,2058.12,2000.00,26.37,9.88e-02
2000.00,2000.00,2.00,6.28,1761.71,2015.16,2253.45,2000.00,27.60,4.21e-02
