# Dark Matter Relic Abundance for Singlet-Doublet Model
#############################################
# Parameter explanation:
# mS: mass parameter of the singlet scalar
# mD: mass parameter of the doublet scalar
# YChi: Yukawa coupling of the singlet scalar to the doublet scalar
# ThetaY: mixing angle between the two Yukawa couplings, defined as ArcTan(Y2/Y1)
# MN1, MN2, MN3: mass eigenvalues of the neutralino-like Majorana fermions
# MChi: physical mass of the chargino-like Dirac fermion
# Xf: dimensionless freeze-out temperature parameter
# Omegah2: dark matter relic density times dimensionless Hubble rate squared
# Note: The masses are in GeV, ThetaY is in radians
# Format: mS,mD,YChi,ThetaY,Xf,Omegah2
#############################################
mS,mD,YChi,ThetaY,MN1,MN2,MN3,MChi,Xf,Omegah2
1900.00,1700.00,1.00,0.00,1642.22,1704.21,1961.99,1700.00,26.75,1.74e-01
2000.00,1700.00,1.00,0.00,1656.46,1704.10,2047.64,1700.00,26.83,1.89e-01
1800.00,1800.00,1.00,0.00,1679.05,1804.21,1925.16,1800.00,26.46,1.59e-01
1900.00,1800.00,1.00,0.00,1718.45,1804.10,1985.64,1800.00,26.60,1.72e-01
2000.00,1800.00,1.00,0.00,1742.18,1803.99,2061.81,1800.00,26.71,1.94e-01
1900.00,1900.00,1.00,0.00,1778.93,1903.99,2025.06,1900.00,26.44,1.77e-01
2000.00,1900.00,1.00,0.00,1818.38,1903.89,2085.50,1900.00,26.57,1.91e-01
2000.00,2000.00,1.00,0.00,1878.83,2003.79,2124.96,2000.00,26.41,1.97e-01
1000.00,1000.00,1.00,0.79,1000.00,1015.04,1015.04,1000.00,28.09,6.50e-02
1100.00,1000.00,1.00,0.79,1000.00,1014.34,1114.34,1000.00,27.58,8.80e-02
1200.00,1000.00,1.00,0.79,1000.00,1013.69,1213.69,1000.00,27.47,9.18e-02
1300.00,1000.00,1.00,0.79,1000.00,1013.10,1313.10,1000.00,27.46,9.44e-02
1400.00,1000.00,1.00,0.79,1000.00,1012.56,1412.56,1000.00,27.43,9.64e-02
1500.00,1000.00,1.00,0.79,1000.00,1012.07,1512.07,1000.00,27.43,9.81e-02
1600.00,1000.00,1.00,0.79,1000.00,1011.61,1611.61,1000.00,27.41,9.94e-02
1700.00,1000.00,1.00,0.79,1000.00,1011.18,1711.18,1000.00,27.42,1.00e-01
1800.00,1000.00,1.00,0.79,1000.00,1010.78,1810.78,1000.00,27.41,1.01e-01
