# Dark Matter Relic Abundance for Singlet-Doublet Model
#############################################
# Parameter explanation:
# mS: mass parameter of the singlet scalar
# mD: mass parameter of the doublet scalar
# YChi: Yukawa coupling of the singlet scalar to the doublet scalar
# ThetaY: mixing angle between the two Yukawa couplings, defined as ArcTan(Y2/Y1)
# MN1, MN2, MN3: mass eigenvalues of the neutralino-like Majorana fermions
# MChi: physical mass of the chargino-like Dirac fermion
# Xf: dimensionless freeze-out temperature parameter
# Omegah2: dark matter relic density times dimensionless Hubble rate squared
# Note: The masses are in GeV, ThetaY is in radians
# Format: mS,mD,YChi,ThetaY,Xf,Omegah2
#############################################
mS,mD,YChi,ThetaY,MN1,MN2,MN3,MChi,Xf,Omegah2
1000.00,1000.00,0.10,0.00,987.73,1000.08,1012.35,1000.00,26.95,1.83e-01
1050.00,1000.00,0.10,0.00,997.14,1000.07,1052.94,1000.00,27.31,1.10e-01
1100.00,1000.00,0.10,0.00,998.51,1000.07,1101.56,1000.00,27.41,1.03e-01
1150.00,1000.00,0.10,0.00,999.00,1000.07,1151.07,1000.00,27.42,1.02e-01
1200.00,1000.00,0.10,0.00,999.25,1000.07,1200.82,1000.00,27.42,1.01e-01
1250.00,1000.00,0.10,0.00,999.40,1000.07,1250.67,1000.00,27.42,1.01e-01
1300.00,1000.00,0.10,0.00,999.50,1000.07,1300.57,1000.00,27.43,1.01e-01
1350.00,1000.00,0.10,0.00,999.57,1000.06,1350.50,1000.00,27.43,1.01e-01
1400.00,1000.00,0.10,0.00,999.62,1000.06,1400.44,1000.00,27.43,1.01e-01
1450.00,1000.00,0.10,0.00,999.66,1000.06,1450.40,1000.00,27.44,1.00e-01
1500.00,1000.00,0.10,0.00,999.70,1000.06,1500.36,1000.00,27.44,1.00e-01
1550.00,1000.00,0.10,0.00,999.72,1000.06,1550.33,1000.00,27.44,1.00e-01
1600.00,1000.00,0.10,0.00,999.75,1000.06,1600.31,1000.00,27.44,1.00e-01
1650.00,1000.00,0.10,0.00,999.77,1000.06,1650.29,1000.00,27.44,1.00e-01
1700.00,1000.00,0.10,0.00,999.78,1000.06,1700.27,1000.00,27.44,1.00e-01
1750.00,1000.00,0.10,0.00,999.80,1000.06,1750.26,1000.00,27.44,1.00e-01
1800.00,1000.00,0.10,0.00,999.81,1000.05,1800.24,1000.00,27.44,1.00e-01
1850.00,1000.00,0.10,0.00,999.82,1000.05,1850.23,1000.00,27.44,1.00e-01
1900.00,1000.00,0.10,0.00,999.83,1000.05,1900.22,1000.00,27.44,1.00e-01
1950.00,1000.00,0.10,0.00,999.84,1000.05,1950.21,1000.00,27.44,1.00e-01
2000.00,1000.00,0.10,0.00,999.85,1000.05,2000.20,1000.00,27.44,1.00e-01
1000.00,1050.00,0.10,0.00,997.20,1050.07,1052.87,1050.00,25.54,8.49e-01
1050.00,1050.00,0.10,0.00,1037.73,1050.07,1062.35,1050.00,26.89,1.99e-01
1100.00,1050.00,0.10,0.00,1047.14,1050.07,1102.93,1050.00,27.26,1.21e-01
1150.00,1050.00,0.10,0.00,1048.51,1050.07,1151.56,1050.00,27.33,1.14e-01
1200.00,1050.00,0.10,0.00,1049.00,1050.07,1201.07,1050.00,27.37,1.12e-01
1250.00,1050.00,0.10,0.00,1049.25,1050.07,1250.82,1050.00,27.39,1.11e-01
1300.00,1050.00,0.10,0.00,1049.40,1050.06,1300.67,1050.00,27.40,1.11e-01
1350.00,1050.00,0.10,0.00,1049.50,1050.06,1350.57,1050.00,27.40,1.11e-01
1400.00,1050.00,0.10,0.00,1049.57,1050.06,1400.49,1050.00,27.40,1.10e-01
1450.00,1050.00,0.10,0.00,1049.62,1050.06,1450.44,1050.00,27.41,1.10e-01
1500.00,1050.00,0.10,0.00,1049.66,1050.06,1500.40,1050.00,27.41,1.10e-01
1550.00,1050.00,0.10,0.00,1049.70,1050.06,1550.36,1050.00,27.41,1.10e-01
1600.00,1050.00,0.10,0.00,1049.72,1050.06,1600.33,1050.00,27.41,1.10e-01
1650.00,1050.00,0.10,0.00,1049.75,1050.06,1650.31,1050.00,27.41,1.10e-01
1700.00,1050.00,0.10,0.00,1049.77,1050.06,1700.29,1050.00,27.41,1.10e-01
1750.00,1050.00,0.10,0.00,1049.78,1050.05,1750.27,1050.00,27.41,1.10e-01
1800.00,1050.00,0.10,0.00,1049.80,1050.05,1800.26,1050.00,27.41,1.10e-01
1850.00,1050.00,0.10,0.00,1049.81,1050.05,1850.24,1050.00,27.41,1.10e-01
1900.00,1050.00,0.10,0.00,1049.82,1050.05,1900.23,1050.00,27.41,1.10e-01
1950.00,1050.00,0.10,0.00,1049.83,1050.05,1950.22,1050.00,27.41,1.10e-01
2000.00,1050.00,0.10,0.00,1049.84,1050.05,2000.21,1050.00,27.41,1.10e-01
1000.00,1100.00,0.10,0.00,998.58,1100.07,1101.49,1100.00,24.01,4.01e+00
1050.00,1100.00,0.10,0.00,1047.20,1100.07,1102.87,1100.00,25.56,8.62e-01
1100.00,1100.00,0.10,0.00,1087.72,1100.07,1112.35,1100.00,26.86,2.16e-01
1150.00,1100.00,0.10,0.00,1097.14,1100.07,1152.93,1100.00,27.21,1.33e-01
1200.00,1100.00,0.10,0.00,1098.51,1100.07,1201.56,1100.00,27.28,1.24e-01
1250.00,1100.00,0.10,0.00,1099.00,1100.06,1251.07,1100.00,27.33,1.22e-01
1300.00,1100.00,0.10,0.00,1099.25,1100.06,1300.82,1100.00,27.35,1.21e-01
1350.00,1100.00,0.10,0.00,1099.40,1100.06,1350.67,1100.00,27.33,1.21e-01
1400.00,1100.00,0.10,0.00,1099.50,1100.06,1400.56,1100.00,27.33,1.21e-01
1450.00,1100.00,0.10,0.00,1099.57,1100.06,1450.49,1100.00,27.33,1.21e-01
1500.00,1100.00,0.10,0.00,1099.62,1100.06,1500.44,1100.00,27.34,1.21e-01
1550.00,1100.00,0.10,0.00,1099.66,1100.06,1550.39,1100.00,27.34,1.21e-01
1600.00,1100.00,0.10,0.00,1099.70,1100.06,1600.36,1100.00,27.34,1.20e-01
1650.00,1100.00,0.10,0.00,1099.72,1100.06,1650.33,1100.00,27.34,1.20e-01
1700.00,1100.00,0.10,0.00,1099.75,1100.05,1700.31,1100.00,27.34,1.20e-01
1750.00,1100.00,0.10,0.00,1099.77,1100.05,1750.29,1100.00,27.34,1.20e-01
1800.00,1100.00,0.10,0.00,1099.78,1100.05,1800.27,1100.00,27.34,1.20e-01
1850.00,1100.00,0.10,0.00,1099.80,1100.05,1850.25,1100.00,27.34,1.20e-01
1900.00,1100.00,0.10,0.00,1099.81,1100.05,1900.24,1100.00,27.34,1.20e-01
1950.00,1100.00,0.10,0.00,1099.82,1100.05,1950.23,1100.00,27.34,1.20e-01
2000.00,1100.00,0.10,0.00,1099.83,1100.05,2000.22,1100.00,27.34,1.20e-01
1000.00,1150.00,0.10,0.00,999.07,1150.07,1151.00,1150.00,22.58,1.64e+01
1050.00,1150.00,0.10,0.00,1048.57,1150.07,1151.49,1150.00,24.12,3.80e+00
1100.00,1150.00,0.10,0.00,1097.20,1150.07,1152.87,1150.00,25.60,8.78e-01
1150.00,1150.00,0.10,0.00,1137.72,1150.07,1162.34,1150.00,26.82,2.33e-01
1200.00,1150.00,0.10,0.00,1147.14,1150.06,1202.93,1150.00,27.19,1.45e-01
1250.00,1150.00,0.10,0.00,1148.51,1150.06,1251.56,1150.00,27.24,1.35e-01
1300.00,1150.00,0.10,0.00,1149.00,1150.06,1301.07,1150.00,27.29,1.33e-01
1350.00,1150.00,0.10,0.00,1149.25,1150.06,1350.82,1150.00,27.31,1.32e-01
1400.00,1150.00,0.10,0.00,1149.40,1150.06,1400.66,1150.00,27.28,1.32e-01
1450.00,1150.00,0.10,0.00,1149.50,1150.06,1450.56,1150.00,27.29,1.32e-01
1500.00,1150.00,0.10,0.00,1149.57,1150.06,1500.49,1150.00,27.29,1.31e-01
1550.00,1150.00,0.10,0.00,1149.62,1150.06,1550.43,1150.00,27.29,1.31e-01
1600.00,1150.00,0.10,0.00,1149.66,1150.06,1600.39,1150.00,27.29,1.31e-01
1650.00,1150.00,0.10,0.00,1149.70,1150.05,1650.36,1150.00,27.29,1.31e-01
1700.00,1150.00,0.10,0.00,1149.72,1150.05,1700.33,1150.00,27.29,1.31e-01
1750.00,1150.00,0.10,0.00,1149.75,1150.05,1750.30,1150.00,27.29,1.31e-01
1800.00,1150.00,0.10,0.00,1149.77,1150.05,1800.28,1150.00,27.30,1.31e-01
1850.00,1150.00,0.10,0.00,1149.78,1150.05,1850.27,1150.00,27.30,1.31e-01
1900.00,1150.00,0.10,0.00,1149.80,1150.05,1900.25,1150.00,27.30,1.31e-01
1950.00,1150.00,0.10,0.00,1149.81,1150.05,1950.24,1150.00,27.30,1.31e-01
2000.00,1150.00,0.10,0.00,1149.82,1150.05,2000.23,1150.00,27.30,1.31e-01
1000.00,1200.00,0.10,0.00,999.31,1200.07,1200.76,1200.00,21.33,5.66e+01
1050.00,1200.00,0.10,0.00,1049.06,1200.07,1201.00,1200.00,22.72,1.49e+01
1100.00,1200.00,0.10,0.00,1098.57,1200.07,1201.49,1200.00,24.22,3.63e+00
1150.00,1200.00,0.10,0.00,1147.19,1200.06,1202.87,1200.00,25.61,8.96e-01
1200.00,1200.00,0.10,0.00,1187.72,1200.06,1212.34,1200.00,26.78,2.51e-01
1250.00,1200.00,0.10,0.00,1197.14,1200.06,1252.93,1200.00,27.11,1.58e-01
